;0
MULT3.SA/FLRY3.SA;1.0687252923523923e-17
VIVT3.SA/CMIG4.SA;9.509018513364615e-18
WEGE3.SA/VBBR3.SA;8.856083496845883e-18
ELET6.SA/RADL3.SA;5.9779631493880514e-18
ITUB4.SA/HYPE3.SA;5.969963485684051e-18
USIM5.SA/VALE3.SA;5.457882438232073e-18
CIEL3.SA/ITUB4.SA;4.602766695622211e-18
BBDC4.SA/HYPE3.SA;4.538919519271387e-18
VALE3.SA/CSNA3.SA;3.52335265811247e-18
FLRY3.SA/CCRO3.SA;3.470465211287667e-18
DXCO3.SA/ENEV3.SA;3.2425868786966585e-18
LREN3.SA/ALPA4.SA;3.192770753486265e-18
BBDC3.SA/CMIG4.SA;3.1372443937122647e-18
PETZ3.SA/SOMA3.SA;2.3487024215473547e-18
BBDC3.SA/CIEL3.SA;2.329795347491077e-18
ALSO3.SA/VBBR3.SA;2.261821780654532e-18
EZTC3.SA/CYRE3.SA;2.148077622188437e-18
ALSO3.SA/TOTS3.SA;1.986385939515706e-18
GGBR4.SA/CSNA3.SA;1.92164644207909e-18
ITUB4.SA/EQTL3.SA;1.839621971767413e-18
LREN3.SA/ARZZ3.SA;1.563494297443763e-18
ITUB4.SA/CPFE3.SA;1.4185224164925662e-18
BBSE3.SA/EGIE3.SA;1.2187058759896895e-18
CSAN3.SA/RDOR3.SA;1.1831587197434123e-18
MRFG3.SA/BEEF3.SA;7.298550586679213e-19
PETZ3.SA/ALPA4.SA;6.689864046065356e-19
BBSE3.SA/ELET6.SA;6.56400799887753e-19
MRVE3.SA/ARZZ3.SA;4.773398236162686e-19
DXCO3.SA/CCRO3.SA;4.741113893842624e-19
TIMS3.SA/CIEL3.SA;4.675353552132541e-19
ITSA4.SA/CMIG4.SA;4.534229818788517e-19
PCAR3.SA/ALSO3.SA;4.251709899486211e-19
VIVT3.SA/ITUB4.SA;3.034345090064623e-19
BBDC4.SA/ITUB4.SA;2.9991007336213283e-19
GOAU4.SA/CSNA3.SA;2.896497508934192e-19
MULT3.SA/ALSO3.SA;2.7509271628098133e-19
CCRO3.SA/RDOR3.SA;2.613060194633776e-19
SBSP3.SA/EGIE3.SA;2.2407947977846457e-19
ENEV3.SA/RDOR3.SA;1.9075132599824032e-19
CMIG4.SA/ITUB4.SA;1.839787459588712e-19
BBAS3.SA/ELET6.SA;1.4676120186311968e-19
BBAS3.SA/BBDC3.SA;1.1937490614271404e-19
BBDC3.SA/HYPE3.SA;1.1215710906333532e-19
RENT3.SA/RDOR3.SA;6.85623190998782e-20
PCAR3.SA/RDOR3.SA;5.397773226445891e-20
LREN3.SA/PETZ3.SA;4.499632795798031e-20
RAIL3.SA/RDOR3.SA;3.49047018666135e-20
DXCO3.SA/RENT3.SA;3.453955332495962e-20
BBDC3.SA/CPFE3.SA;3.344155184115217e-20
MULT3.SA/RDOR3.SA;3.170774250314981e-20
PCAR3.SA/VBBR3.SA;2.0205852631149648e-20
ENEV3.SA/FLRY3.SA;2.0172749250776188e-20
FLRY3.SA/RENT3.SA;1.4195290112875123e-20
BBSE3.SA/ELET3.SA;1.2334668493972129e-20
ALPA4.SA/ARZZ3.SA;1.1060189157387485e-20
PCAR3.SA/FLRY3.SA;8.191331307010384e-21
RDOR3.SA/VBBR3.SA;6.841327310884094e-21
CRFB3.SA/DXCO3.SA;3.707329397512121e-21
BBAS3.SA/CIEL3.SA;3.347228152012916e-21
SUZB3.SA/BRKM5.SA;3.3180526678587324e-21
VIVT3.SA/RADL3.SA;2.5633882896556507e-21
DXCO3.SA/MULT3.SA;1.941175803140839e-21
VIVT3.SA/CIEL3.SA;1.800120102171024e-21
ITSA4.SA/CIEL3.SA;1.276928970576409e-21
ITSA4.SA/BBDC4.SA;1.2428674460583548e-21
WEGE3.SA/RDOR3.SA;9.17631277727924e-22
PETZ3.SA/ARZZ3.SA;9.01199241963298e-22
FLRY3.SA/TOTS3.SA;8.969353036201718e-22
CRFB3.SA/RDOR3.SA;8.209049653056176e-22
BBAS3.SA/BBDC4.SA;7.9026358826291615e-22
SUZB3.SA/SLCE3.SA;6.594777708064728e-22
BRFS3.SA/MRFG3.SA;5.068210939862518e-22
CRFB3.SA/CCRO3.SA;4.001980229478557e-22
HYPE3.SA/RADL3.SA;3.624774712505733e-22
CRFB3.SA/MULT3.SA;2.587297161701736e-22
SOMA3.SA/ALPA4.SA;2.3880960253992435e-22
BRFS3.SA/BEEF3.SA;2.272863768203372e-22
RAIL3.SA/ENEV3.SA;2.1847968513574364e-22
ITUB4.SA/CPLE6.SA;7.910194179843137e-23
CYRE3.SA/ARZZ3.SA;7.737775060599516e-23
BBAS3.SA/ELET3.SA;2.3181690597321736e-23
ELET6.SA/ELET3.SA;2.0935850931811828e-23
GGBR4.SA/USIM5.SA;2.0645013693274946e-23
RAIL3.SA/DXCO3.SA;8.319529054852527e-24
BRAP4.SA/GOAU4.SA;3.0969207913388686e-24
GOAU4.SA/USIM5.SA;1.720097595983801e-24
RAIL3.SA/PCAR3.SA;7.58139703343311e-25
BRAP4.SA/GGBR4.SA;6.581461108840178e-25
EZTC3.SA/ARZZ3.SA;5.280125098189454e-25
EMBR3.SA/BRKM5.SA;7.832223986414282e-26
CYRE3.SA/MRVE3.SA;5.191433220096423e-26
BRAP4.SA/VALE3.SA;3.600086437522131e-28
CSAN3.SA/PCAR3.SA;1.202445257749918e-29
CRFB3.SA/PCAR3.SA;4.113456470476521e-30
DXCO3.SA/PCAR3.SA;8.05671115025512e-38
