Ativo 1;Ativo 2;Valor-p
BRAP4.SA;IRBR3.SA;0.0
BRAP4.SA;ITSA4.SA;0.0
BRAP4.SA;ITUB4.SA;0.0
BRAP4.SA;LREN3.SA;0.0
BRAP4.SA;MGLU3.SA;0.0
BRAP4.SA;CASH3.SA;0.0
BRAP4.SA;BEEF3.SA;0.0
BRAP4.SA;MULT3.SA;0.0
BRAP4.SA;PETR3.SA;0.0
BRAP4.SA;PRIO3.SA;0.0
BRAP4.SA;RDOR3.SA;0.0
BRAP4.SA;SANB11.SA;0.0
BRAP4.SA;SMTO3.SA;0.0
BRAP4.SA;SLCE3.SA;0.0
BRAP4.SA;TIMS3.SA;0.0
BRAP4.SA;UGPA3.SA;0.0
BRAP4.SA;USIM5.SA;0.0
BRAP4.SA;VALE3.SA;0.0
BRAP4.SA;VIIA3.SA;0.0
BRAP4.SA;VBBR3.SA;0.0
BRAP4.SA;WEGE3.SA;0.0
BRAP4.SA;YDUQ3.SA;0.0
BBAS3.SA;BRFS3.SA;0.0
BBAS3.SA;CRFB3.SA;0.0
BBAS3.SA;CCRO3.SA;0.0
BBAS3.SA;CIEL3.SA;0.0
BBAS3.SA;COGN3.SA;0.0
BBAS3.SA;CSAN3.SA;0.0
BBAS3.SA;CMIN3.SA;0.0
BBAS3.SA;CVCB3.SA;0.0
BBAS3.SA;EMBR3.SA;0.0
BBAS3.SA;ENEV3.SA;0.0
BBAS3.SA;EQTL3.SA;0.0
BBAS3.SA;EZTC3.SA;0.0
BBAS3.SA;GOLL4.SA;0.0
BBAS3.SA;HYPE3.SA;0.0
BBAS3.SA;IRBR3.SA;0.0
BBAS3.SA;ITSA4.SA;0.0
BBAS3.SA;JBSS3.SA;0.0
BBAS3.SA;LWSA3.SA;0.0
BBAS3.SA;LREN3.SA;0.0
BBAS3.SA;CASH3.SA;0.0
BBAS3.SA;BEEF3.SA;0.0
BBAS3.SA;MULT3.SA;0.0
BBAS3.SA;PRIO3.SA;0.0
BBAS3.SA;RAIZ4.SA;0.0
BBAS3.SA;RDOR3.SA;0.0
BBAS3.SA;SMTO3.SA;0.0
BBAS3.SA;CSNA3.SA;0.0
BBAS3.SA;SLCE3.SA;0.0
BBAS3.SA;SUZB3.SA;0.0
BBAS3.SA;TIMS3.SA;0.0
BBAS3.SA;VALE3.SA;0.0
BBAS3.SA;VIIA3.SA;0.0
BBAS3.SA;VBBR3.SA;0.0
BBAS3.SA;WEGE3.SA;0.0
BBAS3.SA;YDUQ3.SA;0.0
BRKM5.SA;BRFS3.SA;0.0
BRKM5.SA;CRFB3.SA;0.0
BRKM5.SA;CCRO3.SA;0.0
BRKM5.SA;CMIG4.SA;0.0
BRKM5.SA;COGN3.SA;0.0
BRKM5.SA;CPFE3.SA;0.0
BRKM5.SA;CMIN3.SA;0.0
BRKM5.SA;ELET6.SA;0.0
BRKM5.SA;EMBR3.SA;0.0
BRKM5.SA;ENEV3.SA;0.0
BRKM5.SA;EGIE3.SA;0.0
BRKM5.SA;EQTL3.SA;0.0
BRKM5.SA;EZTC3.SA;0.0
BRKM5.SA;GOLL4.SA;0.0
BRKM5.SA;HYPE3.SA;0.0
BRKM5.SA;IRBR3.SA;0.0
BRKM5.SA;ITUB4.SA;0.0
BRKM5.SA;KLBN11.SA;0.0
BRKM5.SA;LWSA3.SA;0.0
BRKM5.SA;LREN3.SA;0.0
BRKM5.SA;MGLU3.SA;0.0
BRKM5.SA;CASH3.SA;0.0
BRKM5.SA;MULT3.SA;0.0
BRKM5.SA;PETR3.SA;0.0
BRKM5.SA;PETR4.SA;0.0
BRKM5.SA;PRIO3.SA;0.0
BRKM5.SA;RAIZ4.SA;0.0
BRKM5.SA;RDOR3.SA;0.0
BRKM5.SA;RAIL3.SA;0.0
BRKM5.SA;SANB11.SA;0.0
BRKM5.SA;SMTO3.SA;0.0
BRKM5.SA;CSNA3.SA;0.0
BRKM5.SA;SLCE3.SA;0.0
BRKM5.SA;TIMS3.SA;0.0
BRKM5.SA;UGPA3.SA;0.0
BRKM5.SA;VIIA3.SA;0.0
BRKM5.SA;WEGE3.SA;0.0
BRKM5.SA;YDUQ3.SA;0.0
BRFS3.SA;CRFB3.SA;0.0
BRFS3.SA;CCRO3.SA;0.0
BRFS3.SA;CMIG4.SA;0.0
BRFS3.SA;COGN3.SA;0.0
BRFS3.SA;CPFE3.SA;0.0
BRFS3.SA;CMIN3.SA;0.0
BRFS3.SA;ELET3.SA;0.0
BRFS3.SA;ELET6.SA;0.0
BRFS3.SA;EMBR3.SA;0.0
BRFS3.SA;ENGI11.SA;0.0
BRFS3.SA;ENEV3.SA;0.0
BRFS3.SA;EGIE3.SA;0.0
BRFS3.SA;EQTL3.SA;0.0
BRFS3.SA;GOLL4.SA;0.0
BRFS3.SA;HYPE3.SA;0.0
BRFS3.SA;IGTI11.SA;0.0
BRFS3.SA;IRBR3.SA;0.0
BRFS3.SA;ITUB4.SA;0.0
BRFS3.SA;LWSA3.SA;0.0
BRFS3.SA;LREN3.SA;0.0
BRFS3.SA;CASH3.SA;0.0
BRFS3.SA;MULT3.SA;0.0
BRFS3.SA;PETR3.SA;0.0
BRFS3.SA;PETR4.SA;0.0
BRFS3.SA;PRIO3.SA;0.0
BRFS3.SA;RAIZ4.SA;0.0
BRFS3.SA;RDOR3.SA;0.0
BRFS3.SA;RAIL3.SA;0.0
BRFS3.SA;SANB11.SA;0.0
BRFS3.SA;SMTO3.SA;0.0
BRFS3.SA;CSNA3.SA;0.0
BRFS3.SA;SLCE3.SA;0.0
BRFS3.SA;TIMS3.SA;0.0
BRFS3.SA;UGPA3.SA;0.0
BRFS3.SA;VALE3.SA;0.0
BRFS3.SA;VIIA3.SA;0.0
BRFS3.SA;VBBR3.SA;0.0
BRFS3.SA;WEGE3.SA;0.0
BRFS3.SA;YDUQ3.SA;0.0
BPAC11.SA;CRFB3.SA;0.0
BPAC11.SA;CIEL3.SA;0.0
BPAC11.SA;COGN3.SA;0.0
BPAC11.SA;CSAN3.SA;0.0
BPAC11.SA;CMIN3.SA;0.0
BPAC11.SA;CVCB3.SA;0.0
BPAC11.SA;ELET3.SA;0.0
BPAC11.SA;ELET6.SA;0.0
BPAC11.SA;EMBR3.SA;0.0
BPAC11.SA;ENEV3.SA;0.0
BPAC11.SA;EGIE3.SA;0.0
BPAC11.SA;EQTL3.SA;0.0
BPAC11.SA;EZTC3.SA;0.0
BPAC11.SA;GOLL4.SA;0.0
BPAC11.SA;SOMA3.SA;0.0
BPAC11.SA;HYPE3.SA;0.0
BPAC11.SA;IGTI11.SA;0.0
BPAC11.SA;IRBR3.SA;0.0
BPAC11.SA;ITSA4.SA;0.0
BPAC11.SA;JBSS3.SA;0.0
BPAC11.SA;LWSA3.SA;0.0
BPAC11.SA;LREN3.SA;0.0
BPAC11.SA;MGLU3.SA;0.0
BPAC11.SA;CASH3.SA;0.0
BPAC11.SA;MRVE3.SA;0.0
BPAC11.SA;MULT3.SA;0.0
BPAC11.SA;PETR3.SA;0.0
